epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9178,0.95055,3.76961,1.00152,0.03999,0.17343,0.04621,0.03453,0.78505,3.75701,0.89415,8.888e-05,8.888e-05,8.888e-05
2,15.7773,0.8736,3.12686,0.94888,0.10152,0.60742,0.29249,0.21778,0.7898,3.60446,0.87739,0.000176405,0.000176405,0.000176405
3,19.1818,0.94879,2.47525,0.96896,0.05448,0.71312,0.30675,0.23029,0.79796,3.47481,0.88045,0.00025073,0.00025073,0.00025073
4,22.488,0.91146,1.97266,0.96511,0.05149,0.81633,0.44448,0.32487,0.81636,3.34991,0.87442,0.000311858,0.000311858,0.000311858
5,28.1853,0.9383,1.61106,0.97973,0.05352,0.79823,0.53992,0.40148,0.78948,3.31132,0.88097,0.000359786,0.000359786,0.000359786
6,34.9671,0.81497,1.27076,0.95415,0.03484,0.5841,0.29586,0.19771,0.78794,3.39263,0.90691,0.000394516,0.000394516,0.000394516
7,38.7502,0.79845,1.19416,0.96106,0.76898,0.22858,0.49577,0.35998,0.75824,3.14566,0.89368,0.000416047,0.000416047,0.000416047
8,42.317,0.79576,1.10531,0.96365,0.96465,0.17304,0.69494,0.5378,0.75092,2.89193,0.90216,0.00042438,0.00042438,0.00042438
9,47.24,0.78132,1.04822,0.93731,0.94942,0.23151,0.81812,0.62848,0.79431,2.66288,0.92436,0.000419514,0.000419514,0.000419514
10,51.823,0.76233,0.94858,0.94557,0.93145,0.42807,0.89917,0.68619,0.79975,2.35644,0.93164,0.000401449,0.000401449,0.000401449
11,54.9713,0.73819,0.92625,0.93252,0.93988,0.55899,0.94251,0.72694,0.76312,2.10056,0.9103,0.000370185,0.000370185,0.000370185
12,58.1937,0.76191,0.94397,0.9315,0.86922,0.85244,0.94161,0.73476,0.76793,1.58135,0.91694,0.000304414,0.000304414,0.000304414
13,62.9158,0.72826,0.88172,0.91669,0.89602,0.93276,0.965,0.75195,0.7431,1.24351,0.90723,0.000231088,0.000231088,0.000231088
14,68.0544,0.70485,0.86385,0.90316,0.95405,0.93788,0.97065,0.77104,0.72422,1.05959,0.90412,0.000157762,0.000157762,0.000157762
15,71.1775,0.70018,0.87901,0.92083,0.955,0.93999,0.97538,0.7843,0.70836,0.94139,0.9032,8.4436e-05,8.4436e-05,8.4436e-05
